"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"Office Supplies Expenses","267","Epson ink T6735 Light Cyan, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","268","Epson ink T6736 Light Magenta, 70ml/btl (L800, L801,
L805, L810, L850, L1800)","btl","669"
"Office Supplies Expenses","269","Epson L15150 Ink 008, Black","pc","1326"
"Office Supplies Expenses","270","Epson L15150 Ink 008, Cyan","pc","1024"
"Office Supplies Expenses","271","Epson L15150 Ink 008, Magenta","pc","1024"
"Office Supplies Expenses","272","Epson L15150 Ink 008, Yellow","pc","1024"
"Office Supplies Expenses","273","Epson L15150 Maintenance Box (C9345 / PXMB9)","pc","1669"
"Office Supplies Expenses","274","Epson Workforce Pro, WF-C869R Copier Toner/Ink
T9741-Black","btl","10918"
"Office Supplies Expenses","275","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Black","btl","8492"
"Office Supplies Expenses","276","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Cyan","btl","13338"
"Office Supplies Expenses","277","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Magenta","btl","13338"
"Office Supplies Expenses","278","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Yellow","btl","12711"
"Office Supplies Expenses","279","Epson Workforce Pro, WF-C869R Copier Maintenance
Box","btl","8740"
"Office Supplies Expenses","280","Epson Workforce Pro, WF-C869R Copier Tone/Ink T9743
Magenta","btl","13915"
"Office Supplies Expenses","281","Epson Workforce Pro, WF-C869R Copier Toner/Ink
T9742 Cyan","btl","13915"
"Office Supplies Expenses","282","Epson Workforce Pro, WF-C869R Copier Toner/Ink T9744 Yellow","btl","13915"
"Office Supplies Expenses","283","EPSON Workforce Pro, WF-C878R Maintenance Box (C13T671400)","pc","5447"
"Office Supplies Expenses","284","EPSON Workforce Pro, WF-C878R, Toner/Ink T05A1 (Black BK)","pc","15315"
"Office Supplies Expenses","285","EPSON Workforce Pro, WF-C878R, Toner/Ink T05A2 (Cyan C)","pc","15315"
"Office Supplies Expenses","286","EPSON Workforce Pro, WF-C878R, Toner/Ink T05A3 (Magenta M)","pc","15315"
"Office Supplies Expenses","287","EPSON Workforce Pro, WF-C878R, Toner/Ink T05A4 (Yellow Y)","pc","15315"
"Office Supplies Expenses","288","HP 57a original LaserJet imaging drum (cf257a)","pc","11615"
"Office Supplies Expenses","289","HP Inktank 415 GT51, Black","pc","826"
"Office Supplies Expenses","290","HP Inktank 415 GT52, Cyan","pc","826"
"Office Supplies Expenses","291","HP Inktank 415 GT52, Magenta","pc","826"
"Office Supplies Expenses","292","HP Inktank 415 GT52, Yellow","pc","826"
"Office Supplies Expenses","293","HP Laserjet CE 285AC/ HP Printer Ink #85A","pc","4639"
"Office Supplies Expenses","294","Ink Tank Wireless 415-Cartridge MOH50A Black","pc","860"
"Office Supplies Expenses","295","Ink Tank Wireless 415-Cartridge MOH50A Tri-Color","pc","860"
"Office Supplies Expenses","296","Laser printer toner, cartridge, Black","pc","7453"
"Office Supplies Expenses","297","Laser printer toner, cartridge, Cyan","pc","7453"
"Office Supplies Expenses","298","Laser printer toner, cartridge, Magenta","pc","7453"
"Office Supplies Expenses","299","Laser printer toner, cartridge, Yellow","pc","7453"
"","","COMPUTER SUPPLIES (KYOCERA)","",""
"Office Supplies Expenses","300","Copier toner TK-8349K, Black","pc","10145"
"Office Supplies Expenses","301","Copier toner TK-8349C, Cyan","pc","17270"
"Office Supplies Expenses","302","Copier toner TK-8349M, Magenta","pc","17270"
"Office Supplies Expenses","303","Copier toner TK-8349Y, Yellow","pc","17270"
"Office Supplies Expenses","304","Kyocera Toner TK-3165","pc","11798"
"","","COMPUTER SUPPLIES (CANON)","",""
